================================================================================================
H406b  WEEKEND EXTREME-SCALE random-noise hardening of ALL train samples (Fashion-MNIST)
================================================================================================
condition: n = ALL 6000 train samples,  K = 4,000,000 noisy copies/sample
           effective presentations target = 24,000,000,000 (~24.000e9)
           total_steps (at batch 4096) = 5,859,375
noise:     (x + 0.1*(2*rand-1)).clamp(0,1), labeled true class  |  EPS=0.1 PGD_STEPS=10
config:    SmallCNN width=32, SGD(lr=0.05,mom=0.9,wd=5e-4), SEED=0, device=cuda
           gpu = NVIDIA GeForce RTX 4090
           BATCH_START=4096 BATCH_MIN=128  CKPT_EVERY_SEC=300.0

BASELINE reference (n=0, no augmentation):
   clean_acc=0.8785  FGSM_ASR=0.9294  PGD_ASR=1.0000  vuln_PGD=1.0000
   vulnerable test subset = lowest 25% margin (500 samples)

PROGRESS SNAPSHOTS (each = a periodic eval during the long run):
   global_step      pct   batch  clean_acc   FGSM_ASR    PGD_ASR   vuln_PGD   elapsed_s
---------------------------------------------------------------------------------------
       486,404    8.30%    4096     0.8135     0.7246     0.9631     0.9875     33130.6
       490,819    8.38%    4096     0.8230     0.7406     0.9623     0.9958     33430.6
       495,234    8.45%    4096     0.8285     0.7320     0.9572     1.0000     33730.6
       499,649    8.53%    4096     0.8260     0.7228     0.9437     1.0000     34030.6
       504,064    8.60%    4096     0.8310     0.7292     0.9549     0.9960     34330.7
       508,479    8.68%    4096     0.8335     0.7415     0.9586     0.9960     34630.7
       512,894    8.75%    4096     0.8340     0.7134     0.9490     1.0000     34930.8
       517,309    8.83%    4096     0.8310     0.7202     0.9615     1.0000     35230.8
       521,724    8.90%    4096     0.8385     0.7257     0.9559     1.0000     35530.9
       526,139    8.98%    4096     0.8270     0.7352     0.9589     1.0000     35830.9
       527,337    9.00%    4096     0.8355     0.7379     0.9659     1.0000     35912.5
       531,752    9.08%    4096     0.8365     0.7519     0.9695     1.0000     36212.5
       536,167    9.15%    4096     0.8325     0.7483     0.9730     1.0000     36512.5
       540,581    9.23%    4096     0.8385     0.7442     0.9684     1.0000     36812.6
       544,996    9.30%    4096     0.8340     0.7332     0.9628     1.0000     37112.6
       549,410    9.38%    4096     0.8345     0.7388     0.9718     1.0000     37412.6
       553,825    9.45%    4096     0.8310     0.7449     0.9627     0.9960     37712.7
       558,240    9.53%    4096     0.8330     0.7479     0.9688     1.0000     38012.7
       562,655    9.60%    4096     0.8370     0.7354     0.9522     1.0000     38312.7
       567,070    9.68%    4096     0.8295     0.7300     0.9675     1.0000     38612.7
       571,485    9.75%    4096     0.8235     0.7675     0.9684     0.9960     38912.8
       575,900    9.83%    4096     0.8310     0.7449     0.9645     1.0000     39212.8
       580,315    9.90%    4096     0.8280     0.7397     0.9626     1.0000     39512.9
       584,730    9.98%    4096     0.8290     0.7394     0.9662     1.0000     39812.9
       585,930   10.00%    4096     0.8285     0.7586     0.9765     1.0000     39894.6
       590,345   10.08%    4096     0.8310     0.7407     0.9657     1.0000     40194.7
       594,760   10.15%    4096     0.8255     0.7583     0.9740     1.0000     40494.7
       599,175   10.23%    4096     0.8330     0.7461     0.9706     1.0000     40794.7
       603,590   10.30%    4096     0.8300     0.7440     0.9663     1.0000     41094.8
       608,005   10.38%    4096     0.8265     0.7653     0.9788     1.0000     41394.8
       612,420   10.45%    4096     0.8335     0.7522     0.9748     1.0000     41694.8
       616,834   10.53%    4096     0.8345     0.7537     0.9760     1.0000     41994.8
       621,249   10.60%    4096     0.8250     0.7618     0.9703     1.0000     42294.9
       625,663   10.68%    4096     0.8325     0.7592     0.9772     1.0000     42594.9
       630,078   10.75%    4096     0.8290     0.7425     0.9692     1.0000     42894.9
       634,493   10.83%    4096     0.8270     0.7412     0.9704     1.0000     43195.0
       638,908   10.90%    4096     0.8270     0.7479     0.9486     0.9919     43495.0
       643,323   10.98%    4096     0.8285     0.7260     0.9342     0.9922     43795.0
       644,523   11.00%    4096     0.8210     0.7308     0.9275     0.9921     43876.8
       648,938   11.08%    4096     0.8305     0.7508     0.9416     0.9922     44176.8
       653,352   11.15%    4096     0.8355     0.7433     0.9455     0.9924     44476.8
       657,768   11.23%    4096     0.8300     0.7386     0.9380     1.0000     44776.8
       662,182   11.30%    4096     0.8280     0.7391     0.9475     1.0000     45076.9
       666,597   11.38%    4096     0.8215     0.7389     0.9531     1.0000     45376.9
       671,012   11.45%    4096     0.8095     0.7233     0.9265     0.9839     45676.9
       675,427   11.53%    4096     0.8215     0.7103     0.9464     0.9918     45977.0
       679,842   11.60%    4096     0.8220     0.7238     0.9495     1.0000     46277.0
       684,257   11.68%    4096     0.8205     0.7422     0.9561     0.9919     46577.1
       688,671   11.75%    4096     0.8265     0.7326     0.9685     1.0000     46877.1
       693,086   11.83%    4096     0.8320     0.7392     0.9555     1.0000     47177.1
       697,501   11.90%    4096     0.8285     0.7284     0.9529     1.0000     47477.1
       701,916   11.98%    4096     0.8305     0.7297     0.9639     1.0000     47777.1
       703,116   12.00%    4096     0.8360     0.7333     0.9635     0.9960     47858.9
       707,531   12.08%    4096     0.8305     0.7502     0.9639     1.0000     48158.9
       711,946   12.15%    4096     0.8310     0.7461     0.9573     0.9960     48459.0
       716,361   12.23%    4096     0.8360     0.7685     0.9605     1.0000     48759.0
       720,776   12.30%    4096     0.8260     0.7542     0.9661     1.0000     49059.0
       725,191   12.38%    4096     0.8320     0.7819     0.9742     1.0000     49359.1
       729,606   12.45%    4096     0.8265     0.7762     0.9691     1.0000     49659.1
       734,020   12.53%    4096     0.8325     0.7820     0.9700     1.0000     49959.1
       738,435   12.60%    4096     0.8280     0.7814     0.9704     1.0000     50259.2
       742,850   12.68%    4096     0.8305     0.7827     0.9633     1.0000     50559.3
       747,265   12.75%    4096     0.8260     0.7669     0.9679     1.0000     50859.3
       751,680   12.83%    4096     0.8200     0.7378     0.9396     0.9842     51159.3
       756,095   12.90%    4096     0.8300     0.7699     0.9669     1.0000     51459.4
       760,510   12.98%    4096     0.7895     0.6795     0.9196     0.9683     51759.4
       761,709   13.00%    4096     0.8255     0.7710     0.9637     0.9960     51841.1
       766,124   13.08%    4096     0.8210     0.7686     0.9592     1.0000     52141.1
       770,539   13.15%    4096     0.8205     0.7922     0.9707     1.0000     52441.1
       774,954   13.23%    4096     0.8190     0.7747     0.9676     1.0000     52741.2
       779,368   13.30%    4096     0.8290     0.7768     0.9638     1.0000     53041.2
       783,783   13.38%    4096     0.8240     0.7579     0.9721     1.0000     53341.2
       788,198   13.45%    4096     0.8205     0.7660     0.9738     0.9958     53641.3
       792,613   13.53%    4096     0.8290     0.7823     0.9717     1.0000     53941.3
       797,028   13.60%    4096     0.8255     0.7826     0.9806     1.0000     54241.4
       801,443   13.68%    4096     0.8265     0.7979     0.9722     1.0000     54541.4
       805,858   13.75%    4096     0.8270     0.7872     0.9716     1.0000     54841.4
       810,273   13.83%    4096     0.8225     0.7763     0.9733     1.0000     55141.4
       814,687   13.90%    4096     0.8225     0.7884     0.9757     0.9959     55441.5
       819,103   13.98%    4096     0.8225     0.7854     0.9781     0.9958     55741.5
       820,302   14.00%    4096     0.8270     0.7914     0.9861     1.0000     55823.2
       824,717   14.08%    4096     0.7460     0.7031     0.9464     0.9636     56123.2
       829,131   14.15%    4096     0.8265     0.7756     0.9449     0.9804     56423.2
       833,546   14.23%    4096     0.8165     0.8065     0.9755     1.0000     56723.3
       837,961   14.30%    4096     0.8280     0.8013     0.9777     1.0000     57023.3
       842,376   14.38%    4096     0.8150     0.7969     0.9755     1.0000     57323.4
       846,791   14.45%    4096     0.8220     0.7676     0.9696     0.9961     57623.4
       851,206   14.53%    4096     0.8180     0.7836     0.9707     1.0000     57923.5
       855,621   14.60%    4096     0.8275     0.7897     0.9752     1.0000     58223.5
       860,036   14.68%    4096     0.8215     0.8046     0.9763     1.0000     58523.6
       864,451   14.75%    4096     0.8275     0.7583     0.8822     0.9878     58823.6
       868,866   14.83%    4096     0.8225     0.7319     0.8809     0.9920     59123.6
       873,281   14.90%    4096     0.8175     0.7217     0.8716     0.9796     59423.7
       877,696   14.98%    4096     0.8290     0.7449     0.8721     0.9852     59723.7
       878,895   15.00%    4096     0.8205     0.7331     0.8769     0.9881     59805.4
       883,310   15.08%    4096     0.8210     0.7320     0.8709     0.9917     60105.4
       887,725   15.15%    4096     0.8155     0.7265     0.8712     0.9920     60405.5
       892,140   15.23%    4096     0.8180     0.7476     0.8747     0.9845     60705.5
       896,554   15.30%    4096     0.8110     0.7121     0.8792     0.9958     61005.5
       900,969   15.38%    4096     0.8165     0.7520     0.8781     0.9962     61305.6
       905,384   15.45%    4096     0.8180     0.7311     0.8778     0.9918     61605.6
       909,798   15.53%    4096     0.8130     0.7485     0.8776     1.0000     61905.6
       914,212   15.60%    4096     0.8195     0.7401     0.8774     0.9879     62205.6
       918,627   15.68%    4096     0.8170     0.7613     0.8837     0.9916     62505.7
       923,042   15.75%    4096     0.8165     0.7624     0.8775     0.9882     62805.7
       927,457   15.83%    4096     0.8225     0.7629     0.8833     0.9880     63105.7
       931,871   15.90%    4096     0.8260     0.7657     0.8826     0.9882     63405.8
       936,286   15.98%    4096     0.8265     0.7568     0.8869     0.9920     63705.8
       937,488   16.00%    4096     0.8265     0.7695     0.8869     0.9961     63787.7
       941,902   16.08%    4096     0.8160     0.7806     0.8915     0.9959     64087.7
       946,317   16.15%    4096     0.8250     0.7594     0.8812     0.9922     64387.8
       950,732   16.23%    4096     0.8180     0.7586     0.8802     0.9920     64687.8
       955,147   16.30%    4096     0.8280     0.7699     0.8847     0.9922     64987.9
       959,562   16.38%    4096     0.8255     0.7595     0.8801     0.9921     65287.9
       963,976   16.45%    4096     0.8195     0.7645     0.8798     0.9840     65587.9
       968,391   16.53%    4096     0.8165     0.7612     0.8892     1.0000     65888.0
       972,806   16.60%    4096     0.8375     0.7540     0.8764     0.9925     66188.0
       977,221   16.68%    4096     0.8225     0.7574     0.8729     0.9885     66488.0
       981,635   16.75%    4096     0.8200     0.7677     0.8829     0.9882     66788.1
       986,050   16.83%    4096     0.8295     0.7444     0.8909     0.9920     67088.1
       990,465   16.90%    4096     0.8255     0.7535     0.8837     0.9961     67388.2
       994,880   16.98%    4096     0.8295     0.7505     0.8921     1.0000     67688.2
       996,081   17.00%    4096     0.8290     0.7593     0.8860     0.9922     67770.0
     1,000,496   17.08%    4096     0.8285     0.7580     0.8877     0.9922     68070.0
     1,004,911   17.15%    4096     0.8295     0.7547     0.8897     0.9921     68370.1
     1,009,326   17.23%    4096     0.8245     0.7532     0.8842     0.9922     68670.1
     1,013,741   17.30%    4096     0.8280     0.7367     0.8822     0.9882     68970.1
     1,018,156   17.38%    4096     0.8260     0.7306     0.8826     1.0000     69270.2
     1,022,571   17.45%    4096     0.8230     0.7491     0.8730     0.9760     69570.2
     1,026,986   17.53%    4096     0.8315     0.7547     0.8851     0.9924     69870.3
     1,031,401   17.60%    4096     0.8065     0.7495     0.8698     0.9879     70170.3
     1,035,816   17.68%    4096     0.8045     0.7576     0.8819     0.9873     70470.4
     1,040,230   17.75%    4096     0.8065     0.7632     0.8878     0.9876     70770.4
     1,044,646   17.83%    4096     0.8135     0.7738     0.8869     0.9917     71070.5
